
201019*153012.720         0.0000000
201019*153253.151  59597755.91538190100         0.0000000
201019*153254.149  59597808.08874790370         0.0000000
201019*153255.147  59597738.73186039920         0.0000000
201019*153256.146  59597752.20836520200         0.0000000
201019*153257.144  59597767.74183209990         0.0000000
201019*153258.143  59597682.00322359800         0.0000000
201019*153259.141  59597771.96362210060         0.0000000
201019*153300.139  59597774.23781350260         0.0000000
201019*153301.138  59597787.87378309670         0.0000000
201019*153302.152  59597710.73102069650         0.0000000
201019*153303.150  59597718.22743439670         0.0000000
201019*153304.149  59597629.90182919800         0.0000000
201019*153305.147  59597722.62739159910         0.0000000
201019*153306.145  59597745.31227640060         0.0000000
201019*153307.144  59597931.61823409800         0.0000000
201019*153308.142  59597720.16844269630         0.0000000
201019*153309.141  59597758.56582880020         0.0000000
201019*153310.139  59597657.53759010140         0.0000000
201019*153311.137  59597772.16126529870         0.0000000
201019*153312.151  59597747.65115930140         0.0000000
201019*153313.150  59597748.75699619950         0.0000000
201019*153314.148  59597669.64556360240         0.0000000
201019*153315.147  59597762.63099379840         0.0000000
201019*153316.145  59597660.40530110150         0.0000000
201019*153317.143  59597679.60827829690         0.0000000
201019*153318.142  59597639.49484679850         0.0000000
201019*153319.140  59597537.80028580130         0.0000000
201019*153320.139  59597549.13091520220         0.0000000
201019*153321.137  59597573.56874419750         0.0000000
201019*153322.151  59597617.50316280130         0.0000000
201019*153323.149  59597598.27181769910         0.0000000
201019*153324.148  59597557.10627420250         0.0000000
201019*153325.146  59597561.05507609990         0.0000000
201019*153326.145  59597640.99546480180         0.0000000
201019*153327.143  59597635.79725410040         0.0000000
201019*153328.141  59597585.90124130250         0.0000000
201019*153329.140  59597569.65506649760         0.0000000
201019*153330.138  59597565.17257110030         0.0000000
201019*153331.137  59597523.33523750300         0.0000000
201019*153332.151  59597550.57122240220         0.0000000
201019*153333.149  59597483.36439750340         0.0000000
201019*153334.147  59597540.32679980250         0.0000000
201019*153335.146  59597561.26248359680         0.0000000
201019*153336.144  59597548.90887310360         0.0000000
201019*153337.143  59597442.89619019630         0.0000000
201019*153338.141  59597418.93000219760         0.0000000
201019*153339.139  59597400.97799679640         0.0000000
201019*153340.138  59597503.47572659700         0.0000000
201019*153341.136  59597498.17915160210         0.0000000
201019*153342.150  59597569.28869020190         0.0000000
201019*153343.149  59597405.67651859670         0.0000000
201019*153344.147  59597424.02471770350         0.0000000
201019*153345.145  59597445.14186719800         0.0000000
201019*153346.144  59597480.29473250360         0.0000000
201019*153347.142  59597587.85625100140         0.0000000
201019*153348.141  59597491.59020009640         0.0000000
201019*153349.139  59597264.33427249640         0.0000000
201019*153350.137  59597374.67130079870         0.0000000
201019*153351.151  59597451.80700969700         0.0000000
201019*153352.150  59597346.99199710040         0.0000000
201019*153353.148  59597444.71664059910         0.0000000
201019*153354.147  59597387.75342100110         0.0000000
201019*153355.145  59597560.08148130030         0.0000000
201019*153356.143  59597472.50927639750         0.0000000
201019*153357.142  59597354.94465140250         0.0000000
201019*153358.140  59597411.14148829880         0.0000000
201019*153359.139  59597409.98999699950         0.0000000
201019*153400.137  59597368.58167009800         0.0000000
201019*153401.151  59597415.74932400140         0.0000000
201019*153402.149  59597344.64873059840         0.0000000
201019*153403.148  59597441.66852919760         0.0000000
